block,ppsUSDC,ppsmkUSD,ppsUSDT,ppsFRAX
18797700.0,1.03e+18,1e+18,1.08e+18,1.03e+18
18798900.0,1.03e+18,1e+18,1.08e+18,1.03e+18
18800100.0,1.03e+18,1e+18,1.08e+18,1.03e+18
18801300.0,1.03e+18,1e+18,1.08e+18,1.03e+18
18802500.0,1.03e+18,1e+18,1.08e+18,1.03e+18
18803700.0,1.03e+18,1e+18,1.08e+18,1.03e+18
18804900.0,1.03e+18,1e+18,1.08e+18,1.03e+18
18806100.0,1.03e+18,1e+18,1.08e+18,1.03e+18
18807300.0,1.03e+18,1e+18,1.08e+18,1.03e+18
18808500.0,1.03e+18,1e+18,1.08e+18,1.03e+18
18809700.0,1.03e+18,1e+18,1.08e+18,1.03e+18
18810900.0,1.03e+18,1e+18,1.08e+18,1.03e+18
18812100.0,1.03e+18,1e+18,1.08e+18,1.03e+18
18813300.0,1.03e+18,1e+18,1.08e+18,1.03e+18
18814500.0,1.03e+18,1e+18,1.08e+18,1.03e+18
18815700.0,1.03e+18,1e+18,1.08e+18,1.03e+18
18816900.0,1.03e+18,1e+18,1.08e+18,1.03e+18
18818100.0,1.03e+18,1e+18,1.08e+18,1.03e+18
18819300.0,1.03e+18,1e+18,1.08e+18,1.03e+18
18820500.0,1.03e+18,1e+18,1.08e+18,1.03e+18
18821700.0,1.03e+18,1e+18,1.08e+18,1.03e+18
18822900.0,1.03e+18,1e+18,1.08e+18,1.03e+18
18824100.0,1.03e+18,1e+18,1.08e+18,1.04e+18
18825300.0,1.03e+18,1e+18,1.08e+18,1.04e+18
18826500.0,1.03e+18,1e+18,1.08e+18,1.04e+18
18827700.0,1.03e+18,1e+18,1.08e+18,1.04e+18
18828900.0,1.03e+18,1e+18,1.08e+18,1.04e+18
18830100.0,1.03e+18,1e+18,1.08e+18,1.04e+18
18831300.0,1.03e+18,1e+18,1.08e+18,1.04e+18
18832500.0,1.03e+18,1e+18,1.08e+18,1.04e+18
18833700.0,1.03e+18,1e+18,1.08e+18,1.04e+18
18834900.0,1.03e+18,1e+18,1.08e+18,1.04e+18
18836100.0,1.03e+18,1e+18,1.08e+18,1.04e+18
18837300.0,1.03e+18,1e+18,1.08e+18,1.04e+18
18838500.0,1.03e+18,1e+18,1.08e+18,1.04e+18
